Class: ENGLISH,
        1001, 1003, 1006, 1009, 1010, 1015, 
Class: JAPANESE,
        1001, 1004, 1006, 1010, 1013, 1015, 
Class: FRENCH,
        1001, 1002, 1003, 1005, 1008, 1012, 1014, 
Class: GERMAN,
        1002, 1003, 1004, 1007, 1008, 1009, 1011, 1013, 1014, 
Class: SPANISH,
        1008, 1009, 1014, 

#studens: 15
Name  # Classes
    1001   3 ENGLISH, JAPANESE, FRENCH, 
    1002   2 FRENCH, GERMAN, 
    1003   3 ENGLISH, FRENCH, GERMAN, 
    1004   2 JAPANESE, GERMAN, 
    1005   1 FRENCH, 
    1006   2 ENGLISH, JAPANESE, 
    1007   1 GERMAN, 
    1008   3 FRENCH, GERMAN, SPANISH, 
    1009   3 GERMAN, SPANISH, ENGLISH, 
    1010   2 ENGLISH, JAPANESE, 
    1011   1 GERMAN, 
    1012   1 FRENCH, 
    1013   2 JAPANESE, GERMAN, 
    1014   3 FRENCH, GERMAN, SPANISH, 
    1015   2 ENGLISH, JAPANESE, 
