Class: ELECTRONICS,
        Y, O, U, h, a, v, e, 
Class: DS,
        D, O, N, E, t, h, i, s, l, a, b, 
Class: CALCULUS,
        O, K, 
Class: OOP,
        t, o, C, h, e, c, k, 
Class: DM,
        f, i, n, d, T, A, 

#studens: 25
Name  # Classes
       Y   1 ELECTRONICS, 
       D   1 DS, 
       O   3 CALCULUS, ELECTRONICS, DS, 
       K   1 CALCULUS, 
       U   1 ELECTRONICS, 
       N   1 DS, 
       E   1 DS, 
       t   2 DS, OOP, 
       o   1 OOP, 
       C   1 OOP, 
       h   3 ELECTRONICS, DS, OOP, 
       f   1 DM, 
       i   2 DS, DM, 
       n   1 DM, 
       d   1 DM, 
       s   1 DS, 
       l   1 DS, 
       a   2 ELECTRONICS, DS, 
       b   1 DS, 
       v   1 ELECTRONICS, 
       e   2 ELECTRONICS, OOP, 
       c   1 OOP, 
       k   1 OOP, 
       T   1 DM, 
       A   1 DM, 
